(truly) amazing
accessible
worthy
awesome
unparalleled
energetic
compatible
fun
experimenting
encouraging
creative
generous
inspiring
lite
change
versatile
liberating
super
multi-media
fascinating
home
necessary 
gratifying
amazing
friendly
freedom
transformative
tinkering tool
innovative
simple
marvelous
subtle
magic
enlightening
freeing
oppotunities
exploratory
expressive
friendly
versatile
flexible
awesome
inspiring
versatile
flexible
awesome
inspiring
sketchbook 
powerful
indispensable
limitless
educational
robust
awesome
subtle
magic
enlightening
freeing
oppotunities
inclusive
